BINOMIAL,ID,Year,Lat,Long,Frequency,Duration,n,tau_p,tau_p_min,tau_p_max,tau_v,tau_v_min,tau_v_max,diffusion,diffusion_min,diffusion_max,HR,HR_min,HR_max,Speed,Speed_min,Speed_max
after,22560,2022,51.7311888,-118.7554523,1440,88.99930556,71,2758377.802,405417.5977,18767434.22,NA,NA,NA,3.795170935,2.805834709,4.931605179,88335551.9,14094913.84,229298487.5,NA,NA,NA
after,22564,2022,50.52391,-117.1231,1440,46,42,8985686.722,417135.9298,193564160,NA,NA,NA,0.771937169,0.439383566,1.196655398,27802665.48,1203283.957,94744405.29,NA,NA,NA
after,29098,2022,51.6215009,-119.0018817,781,89.375,101,458938.7866,211540.862,995669.6207,11519.89606,2396.792416,55369.00245,3.152467393,2.340472298,4.083517912,12024725.89,6503453.563,19214669.07,NA,NA,NA
after,29104,2022,51.2948431,-118.7966308,781,89.91597222,96,1167941.814,333472.4031,4090557.626,NA,NA,NA,3.963524964,3.139017591,4.88272676,36863757.35,11322116.4,77208951.17,NA,NA,NA
after,37668,2022,50.5473,-117.463415,901,33,38,890050.8798,161693.395,4899337.839,26544.74721,8957.173665,78665.84157,4.477109061,2.561177677,6.919304125,43560792.11,9604579.775,102695639.4,NA,NA,NA
after,37669,2022,50.54739,-117.05676,899.5,47.375,85,325964.4818,144624.4245,734681.1837,NA,NA,NA,2.639769707,1.951870686,3.429905742,5692833.796,2742693.101,9701979.868,NA,NA,NA
after,37671,2022,50.46574,-117.644325,900,33,44,NA,NA,NA,NA,NA,NA,1.055039602,0.639215324,1.573358806,2342819.258,1120028.693,4009190.902,NA,NA,NA
after,41447,2022,52.2211144,-118.5711532,900,89.375,121,2930283.267,590412.587,14543321.42,NA,NA,NA,5.482083928,4.503338683,6.555635542,166575174.2,34317627.47,401275953.9,NA,NA,NA
after,41448,2022,51.8634921,-118.240828,900,89.37569444,132,1818612.749,412313.0884,8021458.51,13555.84634,4012.800374,45793.69839,0.937828199,0.664783902,1.257116875,13429022.49,3304035.374,30520091.01,NA,NA,NA
after,41449,2022,52.22928555,-118.5310364,900,89.37430556,134,4284259.719,597643.637,30712083.59,NA,NA,NA,18.60595633,15.36461143,22.15289952,755663834.8,107290598,2023372150,NA,NA,NA
