"ID","period","herd","Year","Lat","Long","Frequency","Duration","n","tau_p","tau_p_min","tau_p_max","tau_v","tau_v_min","tau_v_max","diffusion","diffusion_min","diffusion_max","HR","HR_min","HR_max","Speed","Speed_min","Speed_max","elev_220809","slope_220809","proj_age_220809","heli_ten_220809"
15024,"prior1","cs",2020,50.45958,-117.16661,720,40,57,NA,NA,NA,NA,NA,NA,2.518920178,1.604880408,3.635673658,3182807.816,1797223.134,4957831.573,NA,NA,NA,1.97394335365917,3.00296361540713,-0.37946954886129,1
15024,"prior2","cs",2019,50.485005,-117.096765,720,38.99861111,70,1210100.154,209862.9079,6977614.088,17501.14746,7330.447319,41783.28402,4.862647959,3.079234657,7.046944386,59750955.89,11675746.85,146301574.9,NA,NA,NA,3.53171400860211,3.33983006576938,0.189636660513371,1
22560,"after","cs",2022,51.7311888,-118.7554523,1440,88.99930556,71,2758377.802,405417.5977,18767434.22,NA,NA,NA,3.795170935,2.805834709,4.931605179,88335551.9,14094913.84,229298487.5,NA,NA,NA,2.46617786532013,3.1219508784979,1.13309726635006,0.940099167161582
22562,"prior2","cs",2019,50.5246,-117.4327,1440,39.99930556,33,1104703.162,176866.0028,6899964.129,60873.90597,22856.09059,162128.8826,6.802917222,3.530713993,11.13025904,85764150.81,17872966.29,205862607.1,NA,NA,NA,3.16425247764826,3.54501209926316,0.935836447453646,0
22562,"during","cs",2021,50.52656,-117.44944,1440,96,74,3344865.325,545321.0136,20516583.38,60292.39518,28313.95302,128388.0394,3.828810264,2.37144079,5.62963053,134154827.7,24530561.44,335053052.3,NA,NA,NA,2.95945449396522,3.32620593198404,0.767374636374423,6.37023824691044e-05
22562,"prior1","cs",2020,50.489675,-117.36235,1440,68.99930556,52,588700.463,213381.2771,1624173.591,NA,NA,NA,1.189803863,0.749947638,1.729534857,4763323.534,2065741.789,8568424.011,NA,NA,NA,3.43181372342463,3.61388886065654,0.986902284901589,0
22563,"prior1","cs",2020,50.330715,-117.77582,1440,35,30,745383.0646,117516.2476,4727822.103,NA,NA,NA,2.262604662,1.236411918,3.593737062,12593502.53,2539277.124,30540791.24,NA,NA,NA,3.39401784479722,3.03375489738241,0.571981328357894,0.789687924016282
22563,"prior2","cs",2019,50.37079,-117.76725,1441,6.000694444,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12092954.58,3689519.587,25394264.2,NA,NA,NA,3.35165013418637,2.55651807234478,0.484945716013246,0.476171243941842
22564,"after","cs",2022,50.52391,-117.1231,1440,46,42,8985686.722,417135.9298,193564160,NA,NA,NA,0.771937169,0.439383566,1.196655398,27802665.48,1203283.957,94744405.29,NA,NA,NA,3.81293830380468,3.13044773697472,0.16446561963171,1
22564,"during","cs",2021,50.49907,-117.16941,1440,97,83,802160.6677,289884.278,2219719.335,23094.61445,4541.068208,117452.809,4.61920693,3.063405675,6.489415224,23628072.34,10347987.59,42296523.5,NA,NA,NA,3.10787856356882,3.31069693813254,-0.12580969983918,1
22564,"prior1","cs",2020,50.461455,-117.160035,1440,68,52,9062207.744,553886.0715,148268052.6,NA,NA,NA,1.484288945,1.013459606,2.043528215,135365495.2,8602727.318,431785452.4,NA,NA,NA,2.68763938897503,3.11483236455913,-0.0882088677553566,0.686709288799517
22564,"prior2","cs",2019,50.486535,-117.098655,1440,40.00069444,36,1888101.033,252139.8829,14138681.55,NA,NA,NA,4.131135747,2.73520232,5.810301391,81036687.01,11674580.21,216166117,NA,NA,NA,3.38161652651891,3.34308533999003,0.272845050042834,1
22565,"prior2","cs",2019,50.36539,-117.75274,1440,39.04722222,32,597772.666,154180.044,2317629.124,NA,NA,NA,8.645325247,5.485598425,12.5121901,46611008.55,14228142.06,97859858.31,NA,NA,NA,3.17064948473818,3.02778523270423,0.537214365503517,0.581089575694081
22567,"prior2","cs",2019,50.3744,-117.73048,1440.5,34,25,NA,NA,NA,NA,NA,NA,9.707459161,5.439882761,15.190456,41452927.17,16871104.87,76892375.85,NA,NA,NA,3.31328678751166,2.93687008511182,0.544485187240098,0.585326343072573
25309,"prior1","cn",2020,51.6773912,-118.7292361,690,66.12430556,135,6099409.344,510375.6011,72892971.9,14799.93096,6769.986718,32354.26677,4.46616269,3.154418159,6.002406182,271633925.5,23244711.55,817581524.4,NA,NA,NA,2.60245327539373,2.60699374846428,1.00775542361153,0.811528977402881
25309,"prior2","cn",2019,51.7590685,-118.7376834,690,40.25,83,788966.3187,189870.0483,3278388.865,NA,NA,NA,8.229572334,6.295684918,10.41851738,57318888.94,14752286.48,128235352.2,NA,NA,NA,2.23181831899115,2.89851303818171,1.31647853354785,0.933787378950729
25315,"prior1","cn",2020,51.44669065,-118.7917483,690,68.04166667,134,1598861.923,330943.2329,7724465.09,10248.60075,3730.847974,28152.80014,6.504358165,4.757508273,8.520141598,95319597.91,21319837.16,223673742.6,NA,NA,NA,3.07198542974527,2.00996484115919,1.0648038458969,0.354950203538237
