id,individual.local.identifier,timestamp,location-lat,location-long,DOP,mort.status,herd,status
838410,22567,2019-07-09 5:08,50.46983,-117.46815,4.4,Mortality No Radius,cs,wild
838510,22567,2019-07-09 4:40,50.46981,-117.46788,4.6,Mortality No Radius,cs,wild
838610,22567,2019-07-09 4:09,50.47012,-117.46778,6.2,Mortality No Radius,cs,wild
838710,22567,2019-07-09 3:38,50.46939,-117.46775,4.2,Mortality No Radius,cs,wild
838810,22567,2019-07-09 3:08,50.46959,-117.46788,4.4,Mortality No Radius,cs,wild
838910,22567,2019-07-09 2:38,50.46936,-117.46809,7.8,Mortality No Radius,cs,wild
839010,22567,2019-07-09 2:09,50.46962,-117.46801,3.4,Mortality No Radius,cs,wild
839110,22567,2019-07-09 1:38,50.46959,-117.46783,5.8,Mortality No Radius,cs,wild
839210,22567,2019-07-09 1:08,50.46969,-117.46792,4.8,Mortality No Radius,cs,wild
839310,22567,2019-07-09 0:38,50.46964,-117.46783,3.6,Mortality No Radius,cs,wild
839410,22567,2019-07-09 0:08,50.4696,-117.46798,3.2,Mortality No Radius,cs,wild
839510,22567,2019-07-08 23:39,50.46972,-117.46798,4.2,Mortality No Radius,cs,wild
606311,29088,2021-09-06 12:00,51.4493496,-118.7790193,1.6,Mortality no radius,cn,wild
606411,29088,2021-09-05 23:00,51.4491831,-118.7790277,1.6,Mortality no radius,cn,wild
606510,29088,2021-09-05 10:00,51.4490711,-118.7789043,1.4,Mortality no radius,cn,wild
606611,29088,2021-09-05 4:07,51.4492574,-118.7788134,2,Mortality no radius,cn,wild
606711,29088,2021-09-05 3:37,51.4494387,-118.7787747,1.6,Mortality no radius,cn,wild
606811,29088,2021-09-05 3:07,51.4493326,-118.778739,1.4,Mortality no radius,cn,wild
606911,29088,2021-09-05 2:07,51.4492718,-118.7789721,1.4,Mortality no radius,cn,wild
607011,29088,2021-09-05 1:38,51.4492667,-118.779003,1.4,Mortality no radius,cn,wild
607111,29088,2021-09-05 0:37,51.4491518,-118.778908,2,Mortality no radius,cn,wild
607211,29088,2021-09-05 0:07,51.4492346,-118.7790806,3.8,Mortality no radius,cn,wild
607311,29088,2021-09-04 23:37,51.4492682,-118.7790113,1.6,Mortality no radius,cn,wild
607411,29088,2021-09-04 23:07,51.4492185,-118.7790396,1.6,Mortality no radius,cn,wild
607511,29088,2021-09-04 22:38,51.4491499,-118.7791216,1.4,Mortality no radius,cn,wild
747011,29089,2021-08-21 19:00,51.7322721,-118.8036388,1.2,Mortality no radius,cn,wild
747111,29089,2021-08-21 6:00,51.731928,-118.803732,1.2,Mortality no radius,cn,wild
747211,29089,2021-08-20 22:11,51.731923,-118.8036838,3.2,Mortality no radius,cn,wild
747311,29089,2021-08-20 21:41,51.7319088,-118.8036883,1.4,Mortality no radius,cn,wild
747410,29089,2021-08-20 21:11,51.7320402,-118.8022372,2,Mortality no radius,cn,wild
747511,29089,2021-08-20 20:41,51.7318767,-118.8037574,2.4,Mortality no radius,cn,wild
747611,29089,2021-08-20 20:11,51.73192,-118.8037434,2.4,Mortality no radius,cn,wild
747710,29089,2021-08-20 19:41,51.7319419,-118.8037517,2.2,Mortality no radius,cn,wild
747810,29089,2021-08-20 19:11,51.7319227,-118.8037238,1.2,Mortality no radius,cn,wild
747911,29089,2021-08-20 18:41,51.731911,-118.8037168,1.2,Mortality no radius,cn,wild
748011,29089,2021-08-20 18:11,51.7319067,-118.8037308,1.2,Mortality no radius,cn,wild
748111,29089,2021-08-20 17:41,51.7319499,-118.8037561,2.8,Mortality no radius,cn,wild
748211,29089,2021-08-20 17:11,51.7319512,-118.8037149,1.8,Mortality no radius,cn,wild
748310,29089,2021-08-20 16:41,51.7319385,-118.8037251,1.4,Mortality no radius,cn,wild
9699,29094,2020-12-19 13:50,51.6163207,-118.7193257,1.2,Mortality no radius,cn,wild
969410,29094,2020-12-19 17:49,51.6161759,-118.7195001,1.4,Mortality no radius,cn,wild
969510,29094,2020-12-19 16:20,51.6161677,-118.7194956,1.2,Mortality no radius,cn,wild
969610,29094,2020-12-19 15:49,51.6161191,-118.7196189,1.2,Mortality no radius,cn,wild
969710,29094,2020-12-19 14:49,51.6160972,-118.7194932,1.2,Mortality no radius,cn,wild
969810,29094,2020-12-19 14:19,51.6161219,-118.7194809,1.2,Mortality no radius,cn,wild
970010,29094,2020-12-19 13:20,51.6162511,-118.7196222,1.4,Mortality no radius,cn,wild
970110,29094,2020-12-19 12:49,51.616137,-118.7193977,1.2,Mortality no radius,cn,wild
1069911,29095,2021-09-06 12:00,51.6654755,-118.8299762,1.2,Mortality no radius,cn,wild
1070011,29095,2021-09-06 5:28,51.6655061,-118.8299959,1.2,Mortality no radius,cn,wild
1070110,29095,2021-09-06 4:58,51.6655194,-118.8299693,1.2,Mortality no radius,cn,wild
1070211,29095,2021-09-06 4:28,51.6657796,-118.8299647,2,Mortality no radius,cn,wild
1070311,29095,2021-09-06 3:58,51.6653999,-118.8297692,1.4,Mortality no radius,cn,wild
1070411,29095,2021-09-06 3:28,51.6654873,-118.8300775,1.4,Mortality no radius,cn,wild
1070511,29095,2021-09-06 2:58,51.6655113,-118.8300826,1.4,Mortality no radius,cn,wild
1070611,29095,2021-09-06 2:28,51.6654643,-118.8300155,1.4,Mortality no radius,cn,wild
1070711,29095,2021-09-06 1:58,51.6654858,-118.8299933,1.4,Mortality no radius,cn,wild
1070811,29095,2021-09-06 1:28,51.6654929,-118.829999,1.2,Mortality no radius,cn,wild
1070911,29095,2021-09-06 0:58,51.6652936,-118.8297545,1.6,Mortality no radius,cn,wild
1071011,29095,2021-09-06 0:28,51.6654382,-118.8299192,3,Mortality no radius,cn,wild
1071111,29095,2021-09-05 23:58,51.6654818,-118.8299597,1.6,Mortality no radius,cn,wild
244710,37670,2021-02-15 13:00,50.59181,-117.19485,1.6,Mortality No Radius,cs,wild
245610,37670,2021-02-14 22:00,50.59215,-117.19632,1.2,Mortality No Radius,cs,wild
