ID,herd
30276,hr
30467,hr
30613,hr
30616,hr
32611,hr
42137,nc
42139,nc
42141,hr
42142,hr
42144,nc
42155,hr
42156,nc
42158,hr
42159,nc
42294,hr
42295,hr
42296,hr
43091,nc
43092,nc
43093,nc
44094,hr
44095,hr
44096,hr
44097,nc
44098,hr
44100,hr
44101,hr
44103,hr
44106,hr
44130,hr
45317,hr
45318,hr
81286,hr
81287,hr
81288,nc
81289,hr
81290,hr
81291,hr
81292,hr
81295,nc
81296,nc
81297,hr
81298,hr
81299,hr
81300,hr
81301,hr
81303,hr
81304,hr
81306,hr
81307,hr
81308,hr
81309,nc
81310,hr
81311,hr
81312,hr
81313,hr
81314,hr
81315,hr
81317,hr
81318,hr
81319,hr
81320,nc
81321,nc
81322,hr
81324,hr
81325,hr
81327,hr
81328,hr
81329,hr
81330,hr
81331,hr
81332,hr
81334,nl
81335,hr
81336,hr
81337,hr
81338,hr
81339,hr
81341,hr
81343,hr
81344,hr
81345,hr
81346,nl
81347,hr
81348,hr
81350,hr
81352,hr
81353,hr
81354,hr
81355,hr
81356,hr
81357,hr
81358,hr
81359,hr
81360,hr
81361,hr
81362,hr
81363,hr
81364,hr
81365,hr
83781,hr
83782,hr
85443,hr
85451,hr
37667,cs
37668,cs
37670,cs
37669,cs
22562,cs
22564,cs
37671,cs
37673,cs
37672,cs
15024,cs
22563,cs
22567,cs
22565,cs
22561,cs
15026,cs
22560,cs
25309,cn
25315,cn
29082,cn
29088,cn
29089,cn
29092,cn
29094,cn
29095,cn
29098,cn
29102,cn
29103,cn
29104,cn
41447,cn
41448,cn
41449,cn
41450,cn
41566,cn
41567,cn
41570,cn
45069,cn
47355,cn
81380,cn
